"업체(시설)명","인허가번호","업종코드","업종명","지도점검일자","점검기관","점검기관명","지도점검구분","처분대상여부","점검사항","점검결과","소재지도로명주소","소재지주소"
"우리염색","300000022199900076","22","폐수배출업소관리","20100216","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 충신동 188-8번지 "
"서울대학교 암연구소","300000022199910001","22","폐수배출업소관리","20100215","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 연건동 28번지 "
"서울대학교 간연구소","300000022200900004","22","폐수배출업소관리","20100308","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상여부","","","서울특별시 종로구 연건동 28번지 (28-2) "
"서울대학교치과대학 치의학대학원","300000022197200002","22","폐수배출업소관리","20100308","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상여부","","","서울특별시 종로구 연건동 28번지 "
"(주)나이벡","300000022200400003","22","폐수배출업소관리","20100308","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상여부","","","서울특별시 종로구 연건동 28-22번지 서울대치과대학 치과생체재료연구동 404호 "
"OK카서비스","300000022200900001","22","폐수배출업소관리","20100416","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영여부","","","서울특별시 종로구 평창동 66-32번지 "
"북악주유소","300000022200900003","22","폐수배출업소관리","20100416","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영여부","","","서울특별시 종로구 평창동 103-1번지 "
"대주페트로(주)종로지점 안풍주유소","300000022199500012","22","폐수배출업소관리","20100416","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영여부","","서울특별시 종로구 자하문로 303 (홍지동)","서울특별시 종로구 홍지동 126-1번지 "
"세종종합상사","300000022199900106","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 154번지 "
"다래기획","300000022199900107","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 154번지 "
"장안기업","300000022199900099","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 1번지 "
"동현실업","300000022199900093","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 24-1번지 "
"덕흥기념사","300000022199900101","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 30-1번지 "
"제일기획","300000022199900105","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 33번지 "
"창신사","300000022199900113","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 78번지 "
"희전부식","300000022199900098","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 88-1번지 "
"동광기업","300000022199900096","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 익선동 166-29번지 "
"바우실업","300000022199900104","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 103-62번지 "
"희전부식","300000022199800016","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 44-1번지 "
"태광사","300000022199900103","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 돈의동 94번지 "
"대성기획","300000022199900095","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 101번지 "
"선일부식","300000022199900094","22","폐수배출업소관리","20100517","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 12-24번지 "
"세화사","300000022199800013","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 141-1번지 "
"금미사","300000022199800081","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 141-1번지 세화빌딩 지하 108호"
"깨끗한도금","300000022199800018","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 14번지 "
"종로멕기","300000022199800010","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 154번지 "
"명성멕기","300000022199800019","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 38-19번지 "
"골드파트너","300000022199700010","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","서울특별시 종로구 서순라길 17-21 (봉익동)","서울특별시 종로구 봉익동 38-9번지 "
"만금사","300000022199700014","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 96-2   번지 2층 "
"삼화도금","300000022199800007","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 100번지 "
"쁘띠","300000022199700012","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 99-1번지 외 1필지(102-1) "
"홍콩멕기","300000022199700020","22","폐수배출업소관리","20100524","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 묘동 33번지 2층 "
"성신염색","300000022199700036","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상 운영여부","","","서울특별시 종로구 종로5가 456-2번지 1층 "
"세일염색","300000022199700047","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 460-2번지 "
"중앙염색","300000022199700048","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 447번지 "
"태평양염색","300000022199700034","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 444-3번지 1층 "
"삼원염색","300000022199700050","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 484번지 "
"종암염색","300000022199900083","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 471번지 "
"유진염색","300000022199900078","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 248-2번지 "
"신광염색","300000022199800026","22","폐수배출업소관리","20100609","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 종로5가 225-19번지 "
"대광멕기","300000022199800080","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 109번지 성보빌딩 202호 "
"한양도금","300000022199800015","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 116번지 "
"두리멕기","300000022199700021","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 116번지 종로빌딩 202호 "
"양지사","300000022199800078","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 117-2번지 "
"수현도금","300000022199800009","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 117-2번지 영동빌딩 213호"
"나라도금","300000022199700007","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","서울특별시 종로구 돈화문로6나길 28 (봉익동)","서울특별시 종로구 봉익동 117-2번지 영동빌딩 308 "
"청지","300000022199800006","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 118-1번지 "
"건후사","300000022199700016","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 104번지 "
"컴퓨터멕기방","300000022199700013","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 117-2번지 301호 "
"명경주유소","300000022199600002","22","","20100723","3000000","서울특별시 종로구","수시","","장마철 대비 방지시설 장상가동 여부","","","서울특별시 종로구 평창동 80-1번지 "
"경일석유(주) 세검정주유소","300000022199600004","22","폐수배출업소관리","20100723","3000000","서울특별시 종로구","수시","N","장마철 방지시설 정상가동 여부","","","서울특별시 종로구 평창동 157-1번지 "
"특종주유소","300000022199700029","22","폐수배출업소관리","20100723","3000000","서울특별시 종로구","수시","N","장마철 배출시설 정상가동 여부","","","서울특별시 종로구 평창동 198-1번지 "
"국군서울지구병원","300000022201000002","22","폐수배출업소관리","20110113","3000000","서울특별시 종로구","정기","N","방지시설 적정 관리 여부","","","서울특별시 종로구 삼청동 25-1번지 "
"(주)풍원석유","300000042200300001","42","유독물판매업관리","20110414","3000000","서울특별시 종로구","정기","N","유독물관리대장 적정작성 및 관리","","","서울특별시 종로구 신문로1가 24번지 고려빌딩 411호"
"태영","300000022199900147","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 39-3번지 "
"용마","300000022199900087","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 40번지 "
"현대부식","300000022199900088","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 44번지 "
"대우사","300000022199900128","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 55번지 "
"금호부식","300000022199900111","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 75번지 "
"토탈싸인성수아트","300000022199900084","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 77-1번지 "
"금광부식","300000022199900138","22","폐수배출업소관리","20110830","3000000","서울특별시 종로구","수시","N","폐수 적정처리 여부 등","","","서울특별시 종로구 관수동 106번지 "
